"mean","lwr","upr","yday","type"
0.311575489978071,0.2894861307282,0.330557282493727,1,"crop"
0.312022553182886,0.290878696542343,0.3301233604074,2,"crop"
0.312468763393472,0.292270125926478,0.329715202605718,3,"crop"
0.312912718125877,0.293658547572586,0.329508854346652,4,"crop"
0.313352408818077,0.295041277013598,0.329298755998697,5,"crop"
0.313785286486829,0.296414901390285,0.329005420119871,6,"crop"
0.314208326115952,0.297775362780473,0.328550224322143,7,"crop"
0.314618089728374,0.299114416995631,0.327957706782268,8,"crop"
0.315010788083434,0.300409471267638,0.327356908765798,9,"crop"
0.31538234093296,0.30166413017889,0.326745860318586,10,"crop"
0.31572843576045,0.302625589881439,0.326122481787517,11,"crop"
0.316044584922816,0.303452402265928,0.325511787036979,12,"crop"
0.316326181107409,0.304193904077937,0.325356465098521,13,"crop"
0.316568551014203,0.304915321399046,0.325312460192564,14,"crop"
0.316767007168859,0.305573166368347,0.32479823775333,15,"crop"
0.316916897771661,0.30617560423674,0.324808236861335,16,"crop"
0.317013654485316,0.306717359570087,0.325035625119798,17,"crop"
0.317052838066173,0.307193289339977,0.325278428787553,18,"crop"
0.317030181743213,0.307562076578891,0.32544335941632,19,"crop"
0.316941632252185,0.307657163495884,0.325563820754601,20,"crop"
0.316783388435145,0.307688809585897,0.325494914154565,21,"crop"
0.316551937319212,0.307529556705035,0.325526229289286,22,"crop"
0.316244087593455,0.30707431431154,0.325590431065441,23,"crop"
0.315857000408028,0.306534408524472,0.325532256847549,24,"crop"
0.315388217426016,0.305736926559443,0.325101218021007,25,"crop"
0.31483568606536,0.305192126642015,0.324504838047919,26,"crop"
0.31419778187577,0.304582545706923,0.323782828231628,27,"crop"
0.313473328003733,0.30390641512787,0.322934002929545,28,"crop"
0.312661611707059,0.30314441306196,0.322076360752296,29,"crop"
0.311762397890527,0.302316961567959,0.321112298361661,30,"crop"
0.310775939642626,0.301550876863045,0.320030923794248,31,"crop"
0.309702985764359,0.300725163569548,0.318898541495148,32,"crop"
0.308544785291484,0.299681041766545,0.317808751240227,33,"crop"
0.307303089021381,0.298409805674073,0.316611829074088,34,"crop"
0.305980148067901,0.297092144849202,0.315345708924141,35,"crop"
0.304578709477676,0.295724439928318,0.31404476730591,36,"crop"
0.303102008953498,0.294312278374975,0.312706851660515,37,"crop"
0.301553760740967,0.292859125241978,0.311261598611141,38,"crop"
0.299938144746427,0.291367577910603,0.30971379943884,39,"crop"
0.298259790965609,0.289840547870606,0.308026049386466,40,"crop"
0.296523761313172,0.288281255177122,0.306050003834443,41,"crop"
0.294735528954892,0.286693221238493,0.304241907950781,42,"crop"
0.292900955254984,0.284979300710924,0.302511784578298,43,"crop"
0.29102626446114,0.283296937632419,0.300679456696076,44,"crop"
0.289118016260957,0.281599263778685,0.298661450084627,45,"crop"
0.287183076352506,0.279882506270472,0.296590614458247,46,"crop"
0.285228585181547,0.278155548080266,0.294475474833242,47,"crop"
0.28326192500673,0.276425485414292,0.292258943786006,48,"crop"
0.281290685462228,0.274689378508158,0.290018307557539,49,"crop"
0.279322627795229,0.272387848972245,0.287758762874194,50,"crop"
0.277365647962437,0.270376018337588,0.285492247181506,51,"crop"
0.275427738776167,0.268155707510033,0.283249311046143,52,"crop"
0.273516951295931,0.266211457865309,0.281015955281669,53,"crop"
0.271641355666357,0.264329661609195,0.279116665571295,54,"crop"
0.269809001605915,0.262202994068667,0.277252319733511,55,"crop"
0.268027878753673,0.260145841195279,0.275430657516559,56,"crop"
0.266305877083721,0.258173467112636,0.273659754085256,57,"crop"
0.264650747597493,0.256295001651805,0.272023228188695,58,"crop"
0.263070063504317,0.254519212147468,0.270612116984252,59,"crop"
0.261571182099783,0.252854456759082,0.26944476526134,60,"crop"
0.260161207549098,0.251303471433882,0.268184903110322,61,"crop"
0.258846954779633,0.249845197888245,0.266928630162127,62,"crop"
0.257634914683161,0.24850964902194,0.265766058008934,63,"crop"
0.256531220822197,0.247303118565831,0.264856666683717,64,"crop"
0.255541617829649,0.246231397594009,0.264059495970017,65,"crop"
0.254671431682884,0.245299532229691,0.263353010678245,66,"crop"
0.25392554202562,0.244512441179231,0.262741321556655,67,"crop"
0.253308356701403,0.243874701984298,0.262228228889532,68,"crop"
0.252823788652352,0.243389230082347,0.261783442309478,69,"crop"
0.252475235325817,0.24305888314364,0.261211478882737,70,"crop"
0.252265560719128,0.242886055475869,0.260754226620656,71,"crop"
